entity,name,prefix,reference,description,notes,entry-date,start-date,end-date
5280000,Local plan,local-plan-document-type,local-plan,,,2024-10-24,,
5280001,Adoption statement,local-plan-document-type,adoption-statement,,,2024-10-24,,
5280002,Area action plan,local-plan-document-type,area-action-plan,,,2024-10-24,,
5280003,Financial viability study,local-plan-document-type,financial-viability-study,,,2024-10-24,,2024-10-25
5280004,Inspectors report,local-plan-document-type,inspectors-report,,,2024-10-24,,
5280005,Policies map,local-plan-document-type,policies-map,,,2024-10-24,,
5280006,Strategic flood risk assessment,local-plan-document-type,strategic-flood-risk-assessment,,,2024-10-24,,
5280007,Strategic housing market assessment,local-plan-document-type,strategic-housing-market-assessment,,,2024-10-24,,
5280008,Supplementary planning documents,local-plan-document-type,supplementary-planning-documents,,,2024-10-24,,
5280009,Local development scheme,local-plan-document-type,local-development-scheme,,,2024-10-24,,
5280010,Sustainability appraisal ,local-plan-document-type,sustainability-apprasial,,,2024-10-24,,2024-10-25
5280011,Local plan review,local-plan-document-type,local-plan-review,,,2024-10-24,,
5280012,Core strategy,local-plan-document-type,core-strategy,,,2024-10-24,,
5280013,Site allocations,local-plan-document-type,site-allocations,,,2024-10-24,,
5280014,Viability assessment,local-plan-document-type,viability-assessment,,,2024-10-25,,
5280015,Sustainability appraisal,local-plan-document-type,sustainability-appraisal,,,2024-10-25,,
